libName,lbiType,sidoName,gunguName,closeDay,weekdayTime,satTime,holidayTime,tkNum,tkDay,adrress,phNum,url,latitude,longitude
중랑구립면목정보도서관,공공도서관,서울특별시,중랑구,"매월 첫째, 셋째 월요일,법정공휴일(일요일제외) 및 근로자의날(5월1일), 임시휴관일",08:00-23:00,08:00-22:00,00:00-00:00,5,14,서울특별시 중랑구 면목로 397 (면목동),02-432-4120,http://www.jungnanglib.seoul.kr/mmlib,37.5873561521,127.0875565596
중랑숲어린이도서관,공공도서관,서울특별시,중랑구,"매주월요일, 법정공휴일(일요일제외) 및 근로자의날(5월1일), 임시휴관일",09:00-18:00,09:00-17:00,00:00-00:00,5,14,서울특별시 중랑구 망우로73길 46-1 (망우동),02-6235-1150,http://www.jungnanglib.seoul.kr/suplib,37.602634,127.103926
중화어린이도서관,공공도서관,서울특별시,중랑구,"매주일요일, 법정공휴일 및 근로자의날(5월1일), 임시휴관일",09:00-18:00,10:00-17:00,00:00-00:00,5,14,서울특별시 중랑구 중랑역로3길 28 (중화동),02-494-1846,http://www.jungnanglib.seoul.kr/jhklib,37.595004,127.0748924744
양원숲속도서관,공공도서관,서울특별시,중랑구,"매주월요일, 법정공휴일(일요일제외) 및 근로자의날(5월1일), 임시휴관일",09:00-18:00,09:00-17:00,00:00-00:00,5,14,서울특별시 중랑구 송림길 172 (망우동),02-432-0711,http://www.jungnanglib.seoul.kr/ywlib/,37.606825,127.110697
중랑상봉도서관,공공도서관,서울특별시,중랑구,"매주월요일, 법정공휴일(일요일제외) 및 근로자의날(5월1일), 임시휴관일",09:00-20:00,09:00-17:00,00:00-00:00,5,14,서울특별시 중랑구 동일로114길 10 (상봉동),,http://www.jungnanglib.seoul.kr/sblib/,37.5931272353,127.080932
송파글마루도서관,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 충민로 120 (장지동),02-449-8855,http://www.splib.or.kr,37.4808326922,127.1304765731
송파어린이도서관,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-18:00,09:00-18:00,09:00-18:00,5,14,서울특별시 송파구 올림픽로 105 (잠실동),02-418-0303,http://www.splib.or.kr,37.5121012604,127.0824284892
거마도서관,공공도서관,서울특별시,송파구,국가지정공휴일+2째월요일+4째월요일,08:00-23:00,08:00-23:00,08:00-23:00,5,14,서울특별시 송파구 거마로2길 19 (거여동),02-449-2332,http://www.splib.or.kr,37.493545,127.1468273964
소나무언덕1호,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 올림픽로 47길 9 (풍납동),02-475-0266,http://www.splib.or.kr,37.5274169166,127.1180408616
소나무언덕2호,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 석촌호수로 155 (잠실동),02-424-0083,http://www.splib.or.kr,37.5072666662,127.0942172981
소나무언덕3호,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 성내천로 319 (마천동),02-443-0130,http://www.splib.or.kr,37.492325,127.156619
소나무언덕4호,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 송이로 34 (송파동),02-419-5100,http://www.splib.or.kr,37.502207,127.116836
소나무언덕 잠실본동,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-18:00,09:00-18:00,09:00-18:00,5,14,서울특별시 송파구 탄천동로 211 (잠실동),02-412-0750,http://www.splib.or.kr,37.5031008494,127.0788719571
송파어린이영어,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-18:00,09:00-18:00,09:00-18:00,5,14,서울특별시 송파구 오금로 1 (신천동),02-415-3567,http://www.splib.or.kr,37.5223926038,127.1029830143
돌마리도서관,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 백제고분로37길 16 (석촌동),02-414-7007,http://www.splib.or.kr,37.5035646147,127.1036854792
송파위례도서관,공공도서관,서울특별시,송파구,매주월요일+국가지정공휴일,09:00-22:00,09:00-22:00,09:00-22:00,5,14,서울특별시 송파구 위례광장로 210 (장지동),02-402-3003,http://www.splib.or.kr,37.4811666537,127.1439359526
은평구립도서관,공공도서관,서울특별시,은평구,"월요일,법정공휴일",09:00-22:00,09:00-18:00,09:00-18:00,5,14,서울특별시 은평구 통일로78가길 13-84,02-385-1671,http://www.eplib.or.kr/,37.61897412,126.9282674
증산정보도서관,공공도서관,서울특별시,은평구,"금요일,법정공휴일",09:00-22:00,09:00-18:00,09:00-18:00,5,14,서울특별시 은평구 증산로5길 6,02-307-6030,http://www.jsplib.or.kr/,37.5828079079,126.9076711057
응암정보도서관,공공도서관,서울특별시,은평구,"금요일,법정공휴일",09:00-22:00,09:00-18:00,09:00-18:00,5,14,서울특별시 은평구 가좌로 7길 15,02-308-2320,http://www.ealib.or.kr/,37.5859665629,126.9196820594
상림마을작은도서관,공공도서관,서울특별시,은평구,"월요일,법정공휴일",09:00-18:00,09:00-18:00,09:00-18:00,5,14,서울특별시 은평구 진관4로 48-25,02-838-7557,http://www.eplib.or.kr/,37.6442159908,126.9289423548
은평뉴타운 도서관,공공도서관,서울특별시,은평구,"금요일,법정공휴일",09:00-22:00,09:00-18:00,09:00-18:00,5,14,서울특별시 은평구 진관2로 111-51,02-6341-6400,http://www.enlib.or.kr/,37.6372303968,126.9331183475
중랑구립정보도서관,공공도서관,서울특별시,중랑구,"매월 둘째, 넷째 월요일,법정공휴일(일요일제외) 및 근로자의날(5월1일), 임시휴관일",07:00-23:00,07:00-22:00,00:00-00:00,5,14,서울특별시 중랑구 신내로15길 197 (묵동),02-490-9113,http://www.jungnanglib.seoul.kr/jnlib,37.6151557,127.0869050507
사당솔밭도서관,공공도서관,서울특별시,동작구,"매주 월요일, 법정공휴일",09:00-22:00,09:00-17:00,00:00-00:00,5,14,서울특별시 동작구 솔밭로 86,02-585-8411,http://lib.dongjak.go.kr/,37.484056,126.967369
동작상도국주도서관,공공도서관,서울특별시,동작구,"매주 월요일, 법정공휴일",09:00-22:00,09:00-17:00,00:00-00:00,5,14,서울특별시 동작구 매봉로 37,02-813-6750,http://lib.dongjak.go.kr/,37.5068219493,126.9509960718
동작어린이도서관,공공도서관,서울특별시,동작구,"매주 월요일, 법정공휴일",09:00-18:00,09:00-17:00,00:00-00:00,5,14,서울특별시 동작구 장승배기로16길 98,02-823-6750,http://lib.dongjak.go.kr/,37.5092044290,126.943434
대방어린이도서관,공공도서관,서울특별시,동작구,"매주 월요일, 법정공휴일",09:00-18:00,09:00-17:00,00:00-00:00,5,14,서울특별시 동작구 대방동길 55,02-813-6740,http://lib.dongjak.go.kr/,37.5030242235,126.9252221319
